PSU,O2,temp.,SS,SRP,DOP,PP,NH4N,NO3N,DON,PN,TN/TP,Fe,SiO4Si,Windspeedinsitu,Depth,DIN to DIP,PhytoBiomassC
3.758,9.46,18.3,52,3.5,11.7,185,0.039,0.022,0.551,0.759,6.848,0.012,2.311,3.5,3.3,17.429,1.757
3.505,9.89,19.1,50,4.4,17.5,111.3,0.02,0.025,0.123,1.181,10.128,0.014,2.116,0,3.6,10.227,2.147
3.758,9.66,18.1,59,3.2,22.8,103.4,0.016,0.008,0.582,0.576,9.134,0.037,2.264,1,3.4,7.5,2.604
3.107,10.36,19.5,46,4.3,22.3,92.7,0.026,0.021,0.693,0.689,11.978,0.017,2.262,0,2.9,10.93,2.062
2.619,11.56,19,42,11.7,30.3,73.2,0.022,0.048,0.383,1.006,12.665,0.024,2.216,0,3,5.983,2.085
3.27,9.66,17.6,59,7.3,14.9,45,0.032,0.017,0.718,0.586,20.134,0.037,2.18,5,3.2,6.712,1.564
2.71,12.12,19.7,72,7.8,13.6,111.2,0.015,0.024,0.309,1.374,12.986,0.019,2.192,1,1.9,5,2.693
3.378,9.42,17.8,58,16.2,37.7,60.3,0.028,0.023,0.42,0.713,10.368,0.017,2.19,4,3.4,3.148,2.271
3.721,9.63,17.5,62,11.7,13,117.6,0.036,0.021,0.727,0.134,6.451,0.039,2.182,4,3.2,4.872,2.102
4.408,9.54,18.4,55,7.4,16.2,124.7,0.023,0.024,0.566,0.895,10.169,0.018,2.054,3.5,3,6.351,2.4
4.39,9.34,17.8,53,13.8,21.4,84.4,0.031,0.03,0.022,1.069,9.632,0.02,2.067,4,3.7,4.42,1.879
4.047,9.32,17.9,50,8.7,16,126.3,0.06,0.007,0.596,0.596,8.338,0.036,2.081,4,3.5,7.701,1.04
3.396,9.54,17.2,54,10.5,11.5,107.4,0.019,0.029,0.679,0.724,11.213,0.022,2.194,2,3.1,4.571,2.411
3.36,9.11,17.3,51,0.1,75.9,55.4,0.022,0.024,0.557,0.939,11.744,0.02,2.116,2,3.2,46,3.281
4.137,9.6,17,61,7,13.4,128.7,0.07,0.034,0.569,0.915,10.651,0.037,2.22,4,2.7,14.857,2.25
3.848,8.98,20.1,66,14.7,4.2,160.3,0.045,0.029,0.674,0.609,7.573,0.018,2.515,5,3.7,5.034,2.202
4.083,10.46,20.5,53.75,11.7,16.6,161.3,0.002,0.043,0.536,1.034,8.518,0.019,2.502,3,3.6,3.846,4.837
3.234,9.83,20,42.5,14.3,9.3,108.1,0.014,0.091,0.716,0.642,11.109,0.163,2.588,7,3.5,7.343,3.69
2.638,9.37,19.9,56.25,15.4,19.8,197.1,0.004,0.025,0.838,0.441,5.631,0.017,2.215,4,3,1.883,1.821
2.963,9.48,19.8,67.5,12.5,4.1,118.4,0.004,0.035,0.803,0.705,11.459,0.022,2.49,2,2.8,3.12,2.531
3.252,9.8,20.3,70,13.9,0.8,122.7,0.017,0.037,0.614,1.081,12.729,0.036,2.738,1,3,3.885,3.199
